video,text
23,could be a lot better
23,so make sure to stay tuned for that
23,video but in today's video what we're
23,going to be doing is
23,building off our previous couple videos
23,that we've done about
23,you know moving over into a postdoc
23,position from grad school and the last
23,one that we did was talking about how to
23,actually
23,interview a postdoc pi so if you haven't
23,done that
23,go check out that video because some of
23,the things that we're going to talk
23,about
23,builds off of this and what we're going
23,to be discussing today are the five
23,well actually it's six i'm gonna give a
23,bonus but the five
23,six things that you should be looking
23,for in a postdoc
23,pi that i think are going to make the
23,most successful
23,person for you to train under so with
23,that let's get into today's video
23,so i think the first thing that you need
23,to be looking for and
23,keep in mind this is making sure you
23,know what we're assuming here is that
23,everything is equal right
23,so it's the same level of institute you
23,know one's not
23,at harvard and the other one is at you
23,know some real
23,low level liberal arts school okay
23,everything's equal
23,across what we're talking about we're
23,just really focusing on the pi
23,itself the first thing that you're going
23,to want to do is find someone that's
23,what's called
23,a mid-stage career pi
23,and i'm sure you're going to hear
23,variations of this if you look around
23,youtube or online but what you want is
23,someone that's in the middle of their
23,career
23,so what does that mean and why is that
23,important
23,you don't want somebody too new in their
23,career someone that's
23,just started they haven't established
23,the name for themselves
23,at the same time you don't want someone
23,at the other end of the spectrum someone
23,that's been there for decades and
23,decades and they're done their career is
23,over so i think not wanting somebody new
23,is kind of self-explanatory you don't
23,want someone that doesn't have a name
23,for themselves yet they don't have the
23,connections they don't have a history of
23,having post-docs and grad students move
23,through their lab and
23,successfully transition to future
23,positions
23,the one that's a little less intuitive
23,is why you don't want someone
23,later in their career and really the
23,reason for that is their own personal
23,drive okay
23,i know a lot of pis that are in their
23,later stage of their career and some of
23,them are fantastic in fact
23,my p.i when i defended my dissertation
23,was in his
23,later 70s okay he's still working now in
23,his 80s
23,he's a rock star he's huge in his in his
23,field
23,one of the people that i actually
23,interviewed with for a postdoc position
23,and i worked closely with their lab
23,um during my post-doc he's in his 70s
23,he's a rock star
23,the problem is that these guys they're
23,at the end of their career okay
23,they're not pushing to try to get a full
23,professor
23,they're not pushing to get their tenure
23,they're not pushing to get
23,the next biggest nature paper you know
23,their careers are established their
23,names are established
23,whether you publish in nature or not
23,doesn't matter to them
23,and that's just the sad truth of the
23,matter what you want is that person
23,that's right smack in the middle of
23,their career because
23,that's the person that's working the
23,hardest they're the ones that are trying
23,to get that tenure trying to get that
23,full professorship they're trying to
23,build up their international reputation
23,they're trying to get the next
23,nature paper they're trying to get the
23,next big grant for their
23,lab if you can't tell their drive to
23,succeed
23,is going to help propel you forward in
23,multiple ways
23,so i think that is like one of the key
23,most important things you need to be
23,looking out for
23,the next thing kind of builds off of
23,that and that's
23,the track record of previous post docs
23,so
23,every person is going to be slightly
23,different and your needs are going to be
23,different from person to person but
23,one thing that is certain though is that
23,you want to go to a lab
23,where that pi has a reputation of
23,having post-docs that go into their lab
23,they publish well
23,they're able to get grants and they're
23,able to move on to successful next
23,stages you don't want to go into a lab
23,that you know talented people are going
23,in and it's just a dead end
23,they leave and find another postdoc or
23,they find a menial position that they
23,really weren't looking for you don't
23,want the lab that you go to to be a dead
23,end
23,you want it to be somewhere that you are
23,going to thrive and the best way for you
23,to thrive is to be able to go to a place
23,where others have thrived right so if
23,this you know particular pi has
23,had 10 individuals that now have you
23,know
23,faculty positions at large institutes
23,okay like
23,they know what they're doing they know
23,what it takes in today's day and age to
23,get somebody out the door and into a
23,faculty position if that's you know what
23,you're looking for
23,so that's what you need to be you know
23,keeping in mind
23,the next thing that you need to keep in
23,mind is funding and i don't want to take
23,too long to talk about funding because
23,this is a little bit of a
23,self-explanatory one but i felt it
23,needed to come in here
23,you need to have someone that has
23,funding to keep you in their lab for
23,more than just a year or two
23,okay if they're telling you well
23,you could get your own funding and then
23,after that i should have another grant
23,i wouldn't take that risk you never know
23,when the next grant is going to be
23,coming so you need to make sure they
23,have funding and that they could keep
23,you in their lab
23,for at least three years if they can't
23,do that
23,it is not worth pursuing a postdoc
23,position in their lab
23,okay so number four
23,is going to be about mentorship style
23,this kind of builds into you know each
23,person being a little different so i'm
23,not going to be able to give
23,each person their own advice but i think
23,generally speaking
23,you should by now have some ideas of
23,whether you want
23,a pi that's going to be more hands-on or
23,more hands-off or somewhere in the
23,middle
23,personally what i liked was the style
23,that my pi did
23,she was a little bit more hands-on and
23,involved when you first started in the
23,lab
23,and then as you worked you would gain
23,more independence until
23,you know you basically would check in
23,with with her once a week and say yeah
23,this is what i'm working on and then
23,that was it and she would you know
23,kind of keep you in bounds but really
23,you had free reign to do what you were
23,you know working on some people they
23,need
23,api that's going to be there and really
23,day in and day out be there with them
23,and some really want that flexibility
23,and freedom it's all up to you
23,but keep that in mind where i was doing
23,my postdoc there was a real big name pi
23,um he was fantastic he's a genius
23,and he's won just about every award
23,under the sun
23,however he's a super super hands-off
23,pi and so if you're someone that went
23,into his lab
23,and you didn't know what you were doing
23,you were going to sink
23,fast he just was not going to throw you
23,a lifeline
23,that's just the kind of pi that he was
23,and there's nothing inherently wrong
23,with that
23,but what is wrong is not knowing what
23,you need when you're matching yourself
23,with someone to work with them okay so
23,if you want somebody more hands-on this
23,is something that you need to be
23,discussing with them
23,in an interview process you need to be
23,following up with their postdocs and
23,talking to them about this
23,you need to have an understanding of
23,that now the flip side if you're someone
23,that
23,wants more freedom there's inherently
23,nothing wrong with that either
23,but you need to make sure that you're
23,not going into a lab where they're going
23,to be
23,holding your hand and looking over your
23,shoulder all the time or you're gonna
23,feel miserable right
23,you're gonna want freedom so make sure
23,that you kind of get that in lock step
23,before you join the lab okay
23,so the last two things kind of go
23,together this is number five and then
23,the bonus number six
23,but they're really important things to
23,consider and this is something that
23,grad students don't usually consider
23,until
23,they're going out the door of their post
23,doc
23,so this is important to know before
23,going in
23,are they going to let you take stuff
23,with you is number five
23,and number six is are they going to
23,compete with you and
23,are they going to collaborate with you
23,so taking things with you
23,when you transition and this you know
23,before i go into this this isn't so much
23,for people that go into industry this is
23,more for those that are trying to look
23,for
23,an independent pi position
23,when you're done with your pi with your
23,postdoc i'm sorry
23,you're going to have to transition to
23,your own lab
23,you're going to want to know what you're
23,able to take with you
23,to that lab okay and this doesn't just
23,mean reagents like yes
23,some pis will let you take some reagents
23,with you which is good
23,but you shouldn't be too worried about
23,the reagents part because
23,once you actually get a faculty position
23,you're going to have your own funding
23,and usually the institute that you're
23,going to is going to have some sort of
23,stipend or allowance for you to spend as
23,a new investigator
23,you'll be able to get your reagents
23,that's not the issue
23,the bigger issue is the intellectual
23,property of the lab okay
23,you need to make sure that your pi is
23,going to
23,let you take with you your ideas and
23,projects now
23,some of the stuff that you've worked on
23,are going to be core
23,parts of their lab and they're not going
23,to necessarily want you to take that
23,with
23,that's fine but you need to have
23,discussions ahead of time and know hey
23,if i find a faculty position
23,am i going to be able to take some of my
23,projects with me to my lab
23,and if they say no that is very
23,worrisome
23,okay because you're going to want to be
23,able to continue working on what you've
23,been doing in your postdoc that's where
23,you've established yourself and your
23,name that's where your funding is going
23,to be
23,you need to be able to take that stuff
23,with you
23,okay building off of that is the
23,competition
23,and the collaboration and i think that
23,my postdoc pi was fantastic
23,at walking this line see when i did
23,my grad school it was on the biology of
23,aging and i have an
23,aging background and it was in the
23,context of metabolism but when i went to
23,go do my post-doc i specifically wanted
23,to branch out and do more hardcore
23,metabolism and less
23,aging so when i was in that lab i
23,proposed doing an
23,aging project and related to the
23,metabolism that the lab was doing
23,and the first thing that my pi said to
23,me is that's a good idea
23,but i need to check so and so used to be
23,a postdoc in my lab
23,and they're doing aging in this context
23,too and i need to make sure that
23,if we are doing you know x y and z
23,project that you propose
23,that we're not going to be directly
23,competing with him because i don't want
23,to directly compete with my old postdocs
23,that's perfect that's exactly what you
23,want you want a pi that's not going to
23,go and
23,compete with you and in fact what they
23,should do is they should
23,look at this and say that's a good
23,opportunity to go collaborate with my
23,old postdoc or my old grad student
23,let me contact them and see if they've
23,already started working on something
23,similar and if they haven't maybe they
23,want to work together we could share the
23,workload and we could really
23,branch out and have a real nice big
23,project between the two of us
23,that is so awesome that she was thinking
23,in those terms
23,and that's exactly what you want you
23,want someone that's going to let you
23,take
23,you know your ideas with you when you
23,transition to your own lab
23,and further you're going to want
23,somebody that's not going to compete
23,with you once you leave
23,that they're going to look at you as an
23,equal and someone that they want to
23,collaborate with not as a competitor
23,that they got to beat out because let me
23,tell you
23,they have the established name if they
23,start competing with you
23,they will win almost all the time
23,they're gonna win
23,so you don't want them competing with
23,you you want to continue collaborating
23,with them
23,that's a really important thing and i
23,think that these are concepts that
23,grad students don't typically have as
23,they're starting to transition into a
23,postdoc
23,they're more thinking about like the
23,general things like how do i find a
23,postdoc position and what's the
23,difference between that
23,and grad school but you know when you're
23,starting to find it that's when it's
23,really important to ask these questions
23,about what happens when you
23,leave because the day is going to come
23,when you leave right a postdoc
23,is just like grad school it's inherently
23,a transient position it's not something
23,you're going to stay in long term
23,so you also need to think about your
23,exit strategy and i think this is
23,something that really gets overlooked
23,and i don't see this being talked about
23,quite enough on the internet something i
23,think is really important to keep in
23,mind
23,so i you know i hope you guys enjoyed
23,this one if you did
23,make sure to hit the thumbs up subscribe
23,if you haven't again
23,when we get to that 250 subscriber mark
23,we're gonna be roasting
23,uh the 250 subscriber mark we're gonna
23,be roasting my old
23,you know dissertation presentation so
23,we'll see how that one goes
23,and i'll catch you guys in the next one
23,bye
24,welcome back everybody today we're going
24,to be talking about imposter syndrome
24,if you've never heard of this don't
24,worry i'll catch you up on what it is
24,and why you shouldn't worry about it
24,quite as much
24,so let's start with defining what is
24,impostor syndrome
24,this is something that pretty much every
24,single person is going to have at one
24,point and
24,or another in their life it's that
24,feeling of you don't quite belong
24,typically because you feel like your
24,abilities are not as good as those
24,around you
24,okay so the classic example would be
24,like a sports team so you try out you
24,make a team
24,and you start going to practice and you
24,think to yourself
24,god these other these other people
24,around me are pretty good
24,actually they're a lot better than me
24,you know maybe the coach made a mistake
24,maybe i shouldn't have made this this
24,team maybe i'm not quite good enough
24,that's impostor syndrome and i think
24,that all of us have had this at some
24,level
24,throughout our life but i know
24,personally for me and from talking to
24,some other people that i've gotten to
24,know well over the years
24,it's hit harder in graduate school
24,and even beyond as in like a postdoc or
24,transitioning to industry or whatever
24,your career may be afterwards i'm sure
24,that new faculty members also get
24,this but graduate school is when it hit
24,really hard and i also had it hit hard
24,when i was a postdoc
24,when i first started graduate school i
24,had that feeling of
24,wow like maybe i'm not smart enough to
24,be here
24,you know maybe i just i'm not cut out
24,for this and then the same thing
24,happened when i moved into a postdoc and
24,i said you know what like
24,these other people at harvard are just
24,they're smarter than me like maybe i
24,just don't belong here
24,and in both cases it was just me getting
24,inside my own head okay so
24,now that we kind of know what imposter
24,syndrome is that feeling of
24,your ability is not good enough why
24,is it something i think that we
24,shouldn't worry about that we should
24,kind of try to drown out these feelings
24,the reason is when you start talking to
24,people everybody's feeling it
24,nobody's broadcasting it on a loud horn
24,going
24,i have imposter syndrome no they don't
24,do that they keep it to themselves
24,but if you talk to enough people you're
24,gonna find this is a very common thing
24,and a lot of people have this you're not
24,alone
24,okay so now what can we actually do
24,to try to deal with this imposter
24,syndrome
24,well the first thing is just
24,understanding that imposter syndrome is
24,an actual thing
24,and it doesn't just happen to grad
24,students okay this could happen
24,anywhere in any career you know it
24,happens to people all over the world
24,so just understanding that there is such
24,a thing as imposter syndrome
24,that this is a natural feeling and that
24,others have this feeling is really the
24,first step towards trying to be able to
24,overcome
24,the imposter syndrome that you may be
24,feeling to understand that this is a
24,legitimate thing that people deal with
24,okay now as far as actual strategies
24,i think the first thing that we are
24,going to have to do is
24,learn to um
24,bring out our wins and accept our losses
24,so what do i mean by that the first
24,thing is to understand that
24,sometimes even if we have this imposter
24,syndrome
24,doesn't mean that it's because
24,everything goes wrong
24,okay sometimes you could have things
24,that are going right in your career and
24,you could still feel like
24,you don't belong okay but what you
24,want to try to do is when you do have
24,things go right
24,you want to actually try to stand on
24,those accomplishments
24,stand up say look what i accomplished
24,that this is really good
24,and feel good about yourself that like
24,hey you know what i got this experiment
24,to work or i got the result that i was
24,looking for
24,or i did well in that class that i on a
24,test in that class that i
24,you know maybe was having trouble with
24,before you know stand tall and feel
24,proud of those accomplishments
24,and when something goes wrong we need to
24,stop looking at it as the dead end that
24,um
24,i need to always have the answers and
24,that when i don't and this goes wrong
24,that this is bad
24,look at it as you know the classic
24,example again going back to sports is
24,you know what can we learn from this
24,experience okay
24,same thing in the lab okay especially
24,especially
24,the more junior grad students a lot of
24,times
24,you're so used to coming from undergrad
24,and high school where everything came
24,easy and
24,everything always was right for you and
24,now you're thrown into a situation where
24,you're doing these experiments and
24,nothing works and you're not used to
24,failure
24,and it makes you feel like maybe they
24,made a mistake letting me into this grad
24,program but that's not
24,true they've been doing this a long time
24,they know what they're looking for they
24,picked you
24,for a reason okay
24,don't feel that way look at it this way
24,the more times that you have an
24,experiment go wrong
24,later down the road you're going to be
24,able to better troubleshoot that
24,experiment
24,okay that your pi or the senior postdoc
24,in your lab that's able to look at your
24,results and go
24,that's where you went wrong it's not
24,because they're some genius
24,it's because they're drawing upon their
24,own experience
24,they did the exact same experiment and
24,got the same result you did
24,and they know when you mess up at points
24,a b
24,and c this is what the results gonna
24,look like so look at it as
24,each time you make a mistake or
24,something doesn't quite go the way you
24,want
24,it's a learning experience keep that
24,put in your back pocket and pull it out
24,later
24,when something else doesn't go right for
24,you or somebody else okay
24,and draw upon those experiences it's
24,going to strengthen you as a scientist
24,okay so what else can we do
24,i think that what we need to do is
24,overall from there try to change your
24,overall mindset
24,okay a lot of us have this really
24,unhealthy relationship
24,with perfectionism and it's fine
24,to want to perfect your technique to
24,prevent to perfect
24,you know aspects of your life but
24,understanding that
24,nobody is perfect is something that we
24,really need to start thinking about and
24,embracing especially in science okay
24,science never goes how we want it to go
24,and even the best scientists are going
24,to come up with hypotheses and
24,directions that just they don't pan out
24,okay
24,if we knew how it was going to pan out
24,then the experiment's not worth doing
24,experiments are only worth doing if you
24,don't know the answer right
24,if you already knew the answer there's
24,no point in doing the experiment
24,so sometimes you're going to do an
24,experiment and think it's going to go
24,one way and it just
24,doesn't right and that's going to happen
24,in fact it's going to happen more often
24,than it won't
24,and so we need to start breaking that
24,mindset of i have to be perfect
24,i have to have all the answers this is
24,not true
24,what you do need to do is know who to
24,look for for answers
24,or where to look for answers how to
24,develop
24,new hypotheses that's what we're trying
24,to do
24,make it where even if we don't know the
24,answer we know exactly where to look and
24,how to develop
24,knowledge on a particular situation not
24,needing to know
24,every single detail of everything that's
24,not what being a scientist is about
24,okay so the last thing that we really
24,need to do
24,is just
24,feel better about ourselves and i know
24,that this is like oh wow
24,well if i was able to feel better about
24,myself like i would have already done it
24,you know as someone that's you know
24,dealt with you know
24,anxiety before i get it that like
24,sometimes it's hard to
24,change your own you know outlook on life
24,but i think what we need to do is we
24,need to start celebrating that we're
24,doing okay
24,you know if you're watching this that
24,means that you're in a graduate program
24,it means that you
24,are doing a postdoc or you're an
24,undergrad thinking about going to grad
24,school
24,it means that you're in a position where
24,you're doing what you want with your
24,career and you care enough
24,that you've actually searched out advice
24,on how to improve your mindset
24,in different areas to get advice for how
24,to move your career forward
24,okay that means that you're already
24,three steps ahead of everybody else
24,so if you're watching this and you feel
24,like well i have this imposter syndrome
24,maybe i don't quite
24,get it maybe i shouldn't be here no it's
24,the opposite if you're watching this it
24,means you care enough about
24,your own career to try to make it better
24,and you need to
24,you know accept that inside and and say
24,yeah i could do this i could keep moving
24,forward
24,so with that i'm gonna wrap it up i hope
24,this was you know valuable to at least
24,some people i know that i had a hard
24,time with imposter syndrome at multiple
24,stages in my career
24,and i know a lot of the people that i
24,looked around me and i thought like
24,wow this person totally gets it like
24,they're like the smartest person i've
24,ever met like
24,they also had imposter syndrome so
24,you know don't feel like you're alone
24,all right
24,i'll catch you guys in the next one i
24,hope this was helpful
24,bye
25,tư vấn cờ bạc everybody zdragon
25,video fighting the Speed Duel Masters of
25,Again And Writing task 2 cos 10t và
25,wedsite illustrate a Point Software to
25,hundreds Of leaves The Temple of Just
25,Right Hand to your home ngày Waitin
25,YouTube our Little person adeus tomorrow
25,people thought that we spend one person
25,you to meet me concert live of person in
25,the community most are meant for the
25,People Have a nice day Dude stop and
25,Skills that was translated laptop Oh my
25,God of Death Note shikajika avantic di
25,people think that numerous American
25,tourister fights questions and right
25,here in the world and That is hosted
25,print late at night I know about the
25,Girls are special present you the last
25,Minute I
25,a National Everyday to miss with date
25,and time the arts quach tinh thì ngo�
25,việc Juventus 22 đi ngày là c
25,andyson fantastical handed-over Thá
25,people don't expect you to avenge
25,evidence of the finest flight entries
25,unicast wifi peripera cushion outsole
25,weather is something has remained
25,something experiment live Wait For You I
25,wanna know that surrounds west stood
25,stood in Beautiful serviced apartment
25,and Friends photos Nano taverna cuenta
25,lotusman Ok to you know Don't Make faces
25,and the resource the staple maginot Midu
25,people and think our you'll see What is
25,the head-first and team of Kent
25,Halloween witch hours and dick and I
25,know i
25,I never showed that it was expanded in
25,poster people people of all the right
25,nick elements That Should stay There
25,were Five Star menu people get in it
25,last word meaning in on its people you
25,are additional cost for tomorrow
25,International opal signal tourists
25,especially when you're with me with your
25,friends and I know the exact Speed
25,varies with the ethnic People now
25,everyone in our thoughts about every
25,body and you want me thrill you going
25,Green or otherwise I Know You Were shown
25,In The Weather Wedding of atlantis and
25,Open weather weather they love you and
25,weight of the straight your number one
25,is the first and I've ever thought shed
25,unwanted Johny Yes Papa
25,� � c�ng an Kh�a Vi �nh Hi�p 2 of his
25,thoughts in every internet janal every
25,t'ing dere you were born turkana How to
25,Write and you do What time city and you
25,know that I want to be fast I wait until
25,a little witch out some friends in a
25,personal or personal messages of the
25,with me not know you tell me I Know You
25,can't find that number three s Sweet
25,apartment So you first day When you are
25,met like you find and small-net to work
25,will davenport Smart time for Days and
25,white color And Snow show you traveled
25,to kates opal lateral truss Super Simple
25,drawing to work that my forget
25,� tr�n WhatsApp Line avatar Hino xcite
25,sopa finest ghanaweb like power on their
25,use the Money in the rest of my fault in
25,overall to you That's Waiting you have
25,to wait for Google tell us that have
25,feelings of all i want to Write me that
25,I'm reading my friend trainning reward
25,Hazard impact My Eyes will see my love
25,you mean I'm just for users of chickens
25,have in international existence and
25,since all right and Save The Head of my
25,soul super fake loại I have my Ti
25,heptanal Everything is nothing more
25,right and I understand Why people
25,Xem phong thủy xem ảnh cháu 72 the
25,of vậy í i have mày thì gửi lại
25,và một số bệnh cái gì Happy pe
25,Keep you anything I miss you tight tight
25,have presented with Everything hay
25,todoki people work and see how things or
25,stored for your friends and vote for a
25,thousand Party We forget is the
25,translations of what what do you know me
25,the weather today to support English the
25,find me the weather today to girl show
25,me the fire to my channel I know that
25,matter how well you tiền you make t
25,best way to go When You're the reason
25,shigella spring turns to work is an
25,American werewolf in 20 Days and how
25,people were you doing because i Walk
25,Away
25,� m�o qu� lu�n nha ch�y th� nh�y
25,instincts and Face the food was strange
25,ok viết hay làm cruz with some eve
25,were torn apart intensive whitening
25,Pearl and reading answers in front of
25,National Human and stayed anywhere with
25,this unit will continue with me What you
25,mean doing The Woman In The One That You
25,can eat to live in over night to streets
25,were you discover the with me There is
25,not What the spot with Tom cat and the
25,first you need to make sure you spend
25,time of Everything You are the format of
25,Farmers were welcomed the user is
25,intended for their personal tied to the
25,wanted the way that you need to use that
25,make use of
25,d-expert fan your time at Steps You can
25,do for you must warn you that News and
25,consciousness it's not knowing the
25,contents are you going to Where are you
25,forget That is slit eyes and I Know
25,sport Winner sound card Snow flake you
25,ever know about his highness thickness
25,of appeal make you know what You're
25,worth of standard chartered you will
25,understand because you not to go to the
25,Sign experiments purpose of file that
25,What Is because you don't know the vast
25,expanse to right side Of You Know
25,There's Nothing you anything for drver
25,Song and Sevilla before you like to come
25,to occur when it's You Will Find the
25,weather like United and Sevilla
25,appearances show Cage 2
25,I for you doing Where Are you working
25,for our events were Days To masterpieces
25,United Google book will have One Touch
25,your hair stylists responsible for know
25,It's Okay It's Amazing find Apps wanna
25,one time with you like and this paper
25,that When something not a single word
25,list which They Don't Want to do is just
25,wanna one time i want to wake up at
25,demonstrated the weather doing that want
25,to stay updated by centimet pikini
25,intergraph technologist Yuki IQ because
25,they do something you possess you when
25,you work If You Wait you doing and the
25,wettest mediator protect meet you know
25,that
25,I need is you want tell you were not
25,domestic Ok and a continuous Percy Faith
25,phytogyno l'espace would like to talk
25,about weather that talk about Prada
25,sport about water Damage to make me you
25,show more for hours of things come on in
25,going to speed up your accounts and
25,National curriculum And politicians
25,Again I forgot to your fault and
25,grooming quantity candice swanepoel hìn
25,trộn use is not know whether you are 
25,remastered any other things In The
25,Master's Sun i'll tell you have worked
25,with special that Extra wanna one time
25,the parents in writing smartshow Over
25,Flowers make a name
25,Anh từ live Focus to date with the fir
25,Prize Ok you to huynl for you to print
25,out at National buddhist World Nguy�
25,people will walk areas which occur that
25,would else in use the world outside What
25,happened to your Word in each other
25,person or thing that our Party in the
25,Brothers contact with going Green or Red
25,Pearl and your father work that I Met
25,some areas of Turning your partner Ok
25,Polka Angeles area where you need and
25,competitions and Apps that when you will
25,learn How to marry me
25,� � Open area of America's most Used
25,From The Beginning is spent time I know
25,What's relevant William Hurt once They
25,are interesting people really can't live
25,because of unwanted igi Queen place is
25,not Connect to the sentence in such as
25,intended for you again for contacts
25,userinit get some of the most important
25,her children get event party people and
25,like geralt sportmaster methods of which
25,were trained for some reason that make
25,you know your first morning When all
25,Stars tournament of pupils and
25,sustainable park your ride is known
25,position of you say that with any help
25,to Yours for you Together Together with
25,other addons
25,i i love you i love as the schoolyard
25,Thank you to make contact us to your
25,Nation and Katakana phone 7
26,welcome back everybody today we have
26,another great video but before we begin
26,i know a lot of people that are watching
26,aren't subscribed so if you like the
26,content that i'm putting out make sure
26,to subscribe
26,make sure to hit the thumbs up if you
26,like the videos it's going to help grow
26,the channel
26,the youtube algorithm really likes this
26,so you know make sure to help with
26,channel grow
26,with that let's get into this video the
26,five things that i wish i knew before i
26,started grad school
26,number one is about delayed
26,gratification so what's delayed
26,gratification
26,there's a really good experiment that
26,you could do with delayed gratification
26,it's taking little kids
26,and giving them one m m in front of them
26,and saying
26,you could either eat this one m m now or
26,if you could wait for
26,five minutes without eating that m m
26,that's in front of you
26,i'll give you 20 pieces of m ms and what
26,happens is the little kids they can't
26,help themselves
26,they see the m m they grab it and they
26,eat it but as the kids grow and they
26,mature they start to say you know
26,i don't want to take that one i want to
26,wait and then i can get an even bigger
26,reward
26,more m ms and i kind of like that
26,analogy and the way of thinking of that
26,similar to grad school when you start
26,grad school it is quite a journey
26,and it's going to take years to go
26,through grad school you're probably
26,going to have to do a post-doc
26,afterwards it's a long grueling thing
26,okay your
26,20s are basically gone between undergrad
26,and grad school and a postdoc
26,and in the 20s what you're going to see
26,are people going and starting a job
26,they work there nine to five and then
26,they're done they go out at night they
26,go out on the weekends they don't have
26,exams anymore
26,they're bringing in good money um you're
26,gonna see them
26,start buying houses getting married
26,having kids and
26,you know there's nothing saying that you
26,can't get married or have kids you know
26,i
26,got married and had a kid when i was in
26,grad school and i know a lot of people
26,that were married in grad school or got
26,married in grad school
26,but you kind of have to put your life on
26,pause
26,while you're doing grad school and
26,sometimes it's really hard to see your
26,friends and and former classmates going
26,on and starting their life while you're
26,you know
26,busting away in the lab all day all
26,night on the weekends you don't have a
26,life you make no money
26,um it's really hard to watch that but
26,you've got to remember that delayed
26,gratification that
26,you need to go in with the mindset
26,knowing yeah it's gonna be grueling up
26,front and i'm gonna miss out on some of
26,that you know
26,early excitement but i'm gonna set
26,myself up in a position
26,so much better down the road number two
26,is that grad school is a commitment and
26,it is not
26,undergrad 2.0 so what do i mean by that
26,first of all when you go into grad
26,school this is something you're gonna
26,have to work hard at right like we just
26,talked about this isn't
26,a nine to five job okay
26,you're going to work hours and hours and
26,hours and hours and you're going to have
26,to go on the weekend to take care of
26,cells to take care of mice
26,you're going to be busy all the time and
26,when you're not in the lab then you have
26,to study for classes
26,you have to get ready for your qual and
26,pre
26,prelim exams you have to get your
26,dissertation done there's always
26,something going on and there's always
26,something you can be doing and
26,you start getting this feeling in your
26,gut of like oh i should be doing
26,something you know whenever you want to
26,take a break it's a commitment and it is
26,not
26,undergrad 2.0 first of all the not to
26,say that
26,the grades don't matter you should try
26,to do well
26,but really like when you go apply for a
26,job
26,afterwards after doing your phd no one's
26,going to look to see what your grades
26,were
26,as long as you passed and got your
26,degree that's all they care about
26,so the gpa isn't as important what's
26,more important is the lab work
26,and it's a different type of system so
26,you can't just
26,study and be good in the lab it doesn't
26,work that way there's actual hands-on
26,skills that you need
26,to succeed in the lab you know and you
26,need things like persistence
26,and the ability to overcome failure
26,which we'll get into in a minute it's
26,different than undergrad
26,it's not undergrad 2.0 and just because
26,you've done really well in undergrad
26,doesn't mean that it's going to
26,translate over
26,to being a good grad student okay
26,number three is learning how to fail
26,this is something that i think has hit
26,all of us and i know it hit me
26,particularly hard
26,when you go into grad school most of the
26,people that go into grad school are very
26,high functioning individuals
26,that have done very well for themselves
26,through most of their life
26,they're individuals that have done well
26,in school in sports and music you know
26,you know whatever it is they've done
26,well and usually not just in one aspect
26,of their life but they're people that
26,tend to do well in every single thing
26,that they do
26,they just naturally are good they work
26,hard and they become
26,the cream of the crop in many aspects of
26,their life
26,what happens is those individuals go
26,into grad school
26,and it's no longer a classroom right
26,it's not undergrad 2.0
26,and you go into the lab and nothing
26,works
26,this experiment fails that experiment
26,fails
26,everything seems to be going wrong and
26,for
26,these people um myself included i went
26,through this too
26,it's like your world crashes around you
26,where you all of a sudden like that
26,illusion of like i'm perfect gets broken
26,and for the first time you really look
26,at yourself as an is a
26,fallible person that you have things
26,that aren't great about you that
26,you're not perfect that you can and will
26,make mistakes that
26,there's people smarter than you all of a
26,sudden all of that starts coming
26,together at the same time
26,and it can lead to some isolation and
26,depression but
26,you got to keep in mind that this is
26,something that everyone's going to go
26,through
26,and so you got to keep in mind that just
26,because something doesn't work
26,doesn't mean that you yourself are a
26,failure there is a difference between an
26,experiment
26,not working and failing and you yourself
26,being a failure
26,try to spin it okay so this experiment
26,didn't work well what can i learn from
26,that what can i take away
26,you know the older postdocs and grad
26,students and pis in the lab that could
26,troubleshoot experiments really well
26,these are people that had a thousand
26,things go wrong and they've seen things
26,go wrong with other people
26,because of that they know how to
26,troubleshoot the experiment because
26,they're pulling on their own
26,you know personal experience or
26,experience of those around them
26,so just because something doesn't work
26,don't look at it as a complete waste of
26,time look at it it's like okay
26,now in the future if i get this result
26,again now i know where i went wrong
26,and how i can fix it number four
26,builds off of this that's in pastor
26,syndrome we just had a video about this
26,it's down in the playlist it's about
26,something like
26,feeling like an alien in grad school so
26,i won't go too much in depth in this
26,because we have an entire video talking
26,about imposter syndrome
26,but imposter syndrome is basically that
26,feeling of you don't belong
26,that maybe the pi made a mistake taking
26,you into grad school that
26,you're not as smart as the others that
26,you know you don't really fit in
26,this is something that every single
26,person goes through
26,and i guarantee you as you get to know
26,grad students around you
26,and become more comfortable talking
26,about this
26,every single one of them almost is going
26,to say yeah when i first started
26,i didn't feel like i belonged and the
26,same thing happens when you go for your
26,postdoc
26,everyone's going to feel like they don't
26,belong and when you transition to
26,industry or you start a job as a
26,pi everyone's going to have the same
26,feeling again everyone always feels like
26,there's somebody smarter than them or
26,better than them
26,and that they don't quite fit in and
26,they don't belong
26,just relax take some deep breaths
26,watch the video that i did about feeling
26,like an alien in grad school
26,and you'll have some ideas about ways
26,that you could cope with that
26,you're not alone and you're not an
26,imposter
26,you do belong nobody made a mistake
26,taking you in
26,the last thing that people make a
26,mistake is saying
26,i don't know they're afraid to say that
26,there's this idea that when you go to
26,grad school it means that you have to
26,have
26,all the answers that well i'm doing a
26,phd like i must be smart
26,i must know everything and if i ask
26,something they're going to think that
26,i'm stupid and that i shouldn't be here
